"","time","viewed","variable","n","mean","sd","median","MAD","Q1","Q3","IQR","min","max"
"1","1","0","Subsequent Score",38,68.8235294118421,16.9435831187835,73.088235295,11.55555882789,62.4999999975,79.04411765,16.5441176525,29.11764706,92.05882353
"2","1","1","Subsequent Score",148,74.2150238475,16.0090976897434,77.205882355,15.698117648367,66.3970588275,86.397058825,19.9999999975,21.76470588,98.52941176
"3","2","0","Subsequent Score",54,72.0430424528302,16.8024462209816,75.9375,13.4360625,66.25,84.6875,18.4375,26.5625,94.0625
"4","2","1","Subsequent Score",136,80.4011194029851,12.3749390010161,83.75,11.5828125,73.75,89.6875,15.9375,35.3125,98.75
"5","3","0","Subsequent Score",12,72.0833333333333,20.4458246299769,76.029411765,20.494764703266,62.5,81.3970588225,18.8970588225,31.17647059,100
"6","3","1","Subsequent Score",175,81.1630252101486,16.2616179727256,85.88235294,10.901470593468,75.29411765,92.794117645,17.499999995,2.352941176,99.11764706
"7","4","0","Subsequent Score",55,75.2918632075472,14.0665070992238,75.625,14.826,65.625,85.3125,19.6875,45.9375,97.5
"8","4","1","Subsequent Score",135,83.8125,12.5988280704993,86.25,11.1195,78.4375,92.5,14.0625,20.9375,100
