"","Exam","variable","n","mean","sd","median","MAD","Q1","Q3","IQR","min","max"
"1","p_tot1","Performance",379,74.6222826086957,16.8016556601616,78,16.3086,65.875,88,22.125,18,99
"2","p_tot2","Performance",379,72.4019010480136,19.0070523171659,77.2727272727273,18.1955454545454,60.9090909090909,87.2727272727273,26.3636363636364,11.8181818181818,100
"3","p_tot3","Performance",379,61.9662267080745,19.8073808939568,63.2142857142858,23.8275,47.1428571428571,78.5714285714286,31.4285714285715,0,98.5714285714286
"4","p_tot4","Performance",379,79.8983739837398,18.6484889107197,86,14.826,70,94.5,24.5,0,100
"5","p_tot5","Performance",379,79.41029143898,14.9499557491362,81.6666666666667,14.826,70.8333333333333,90.8333333333333,20,17.5,100
